regularInstances/a280.tsp
[PROGRESS] Epoch: 26, Interval: 1.00s, Time: 26.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 27, Interval: 1.00s, Time: 27.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 28, Interval: 1.00s, Time: 28.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 29, Interval: 1.00s, Time: 29.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 30, Interval: 1.00s, Time: 30.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 31, Interval: 1.00s, Time: 31.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 32, Interval: 1.00s, Time: 32.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 33, Interval: 1.00s, Time: 33.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 34, Interval: 1.00s, Time: 34.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 35, Interval: 1.00s, Time: 35.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 36, Interval: 1.00s, Time: 36.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 37, Interval: 1.00s, Time: 37.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 38, Interval: 1.00s, Time: 38.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 39, Interval: 1.00s, Time: 39.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 40, Interval: 1.00s, Time: 40.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 41, Interval: 1.00s, Time: 41.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 42, Interval: 1.00s, Time: 42.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 43, Interval: 1.00s, Time: 43.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 44, Interval: 1.00s, Time: 44.00s, Best Cost: 346995.0
COST: 346995.0
TIME: 44.4
[PROGRESS] Time: 0.00s, Best Cost: 402456.0 (Seed Finish)
[PROGRESS] Epoch: 1, Interval: 1.00s, Time: 1.00s, Best Cost: 353074.0
[PROGRESS] Epoch: 2, Interval: 1.00s, Time: 2.00s, Best Cost: 351554.0
[PROGRESS] Epoch: 3, Interval: 1.00s, Time: 3.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 4, Interval: 1.00s, Time: 4.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 5, Interval: 1.00s, Time: 5.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 6, Interval: 1.00s, Time: 6.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 7, Interval: 1.00s, Time: 7.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 8, Interval: 1.00s, Time: 8.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 9, Interval: 1.00s, Time: 9.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 10, Interval: 1.00s, Time: 10.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 11, Interval: 1.00s, Time: 11.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 12, Interval: 1.00s, Time: 12.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 13, Interval: 1.00s, Time: 13.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 14, Interval: 1.00s, Time: 14.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 15, Interval: 1.00s, Time: 15.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 16, Interval: 1.00s, Time: 16.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 17, Interval: 1.00s, Time: 17.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 18, Interval: 1.00s, Time: 18.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 19, Interval: 1.00s, Time: 19.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 20, Interval: 1.00s, Time: 20.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 21, Interval: 1.00s, Time: 21.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 22, Interval: 1.00s, Time: 22.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 23, Interval: 1.00s, Time: 23.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 24, Interval: 1.00s, Time: 24.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 25, Interval: 1.00s, Time: 25.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 26, Interval: 1.00s, Time: 26.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 27, Interval: 1.00s, Time: 27.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 28, Interval: 1.00s, Time: 28.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 29, Interval: 1.00s, Time: 29.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 30, Interval: 1.00s, Time: 30.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 31, Interval: 1.00s, Time: 31.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 32, Interval: 1.00s, Time: 32.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 33, Interval: 1.00s, Time: 33.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 34, Interval: 1.00s, Time: 34.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 35, Interval: 1.00s, Time: 35.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 36, Interval: 1.00s, Time: 36.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 37, Interval: 1.00s, Time: 37.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 38, Interval: 1.00s, Time: 38.00s, Best Cost: 347090.0
COST: 347090.0
TIME: 38.5
[PROGRESS] Time: 0.00s, Best Cost: 402456.0 (Seed Finish)
[PROGRESS] Epoch: 1, Interval: 1.00s, Time: 1.00s, Best Cost: 350597.0
[PROGRESS] Epoch: 2, Interval: 1.00s, Time: 2.00s, Best Cost: 348529.0
[PROGRESS] Epoch: 3, Interval: 1.00s, Time: 3.00s, Best Cost: 348529.0
[PROGRESS] Epoch: 4, Interval: 1.00s, Time: 4.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 5, Interval: 1.00s, Time: 5.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 6, Interval: 1.00s, Time: 6.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 7, Interval: 1.00s, Time: 7.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 8, Interval: 1.00s, Time: 8.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 9, Interval: 1.00s, Time: 9.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 10, Interval: 1.00s, Time: 10.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 11, Interval: 1.00s, Time: 11.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 12, Interval: 1.00s, Time: 12.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 13, Interval: 1.00s, Time: 13.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 14, Interval: 1.00s, Time: 14.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 15, Interval: 1.00s, Time: 15.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 16, Interval: 1.00s, Time: 16.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 17, Interval: 1.00s, Time: 17.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 18, Interval: 1.00s, Time: 18.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 19, Interval: 1.00s, Time: 19.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 20, Interval: 1.00s, Time: 20.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 21, Interval: 1.00s, Time: 21.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 22, Interval: 1.00s, Time: 22.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 23, Interval: 1.00s, Time: 23.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 24, Interval: 1.00s, Time: 24.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 25, Interval: 1.00s, Time: 25.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 26, Interval: 1.00s, Time: 26.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 27, Interval: 1.00s, Time: 27.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 28, Interval: 1.00s, Time: 28.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 29, Interval: 1.00s, Time: 29.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 30, Interval: 1.00s, Time: 30.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 31, Interval: 1.00s, Time: 31.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 32, Interval: 1.00s, Time: 32.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 33, Interval: 1.00s, Time: 33.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 34, Interval: 1.00s, Time: 34.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 35, Interval: 1.00s, Time: 35.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 36, Interval: 1.00s, Time: 36.00s, Best Cost: 346995.0
COST: 346995.0
TIME: 36.4
[PROGRESS] Time: 0.00s, Best Cost: 402456.0 (Seed Finish)
[PROGRESS] Epoch: 1, Interval: 1.00s, Time: 1.00s, Best Cost: 354744.0
[PROGRESS] Epoch: 2, Interval: 1.00s, Time: 2.00s, Best Cost: 347813.0
[PROGRESS] Epoch: 3, Interval: 1.00s, Time: 3.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 4, Interval: 1.00s, Time: 4.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 5, Interval: 1.00s, Time: 5.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 6, Interval: 1.00s, Time: 6.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 7, Interval: 1.00s, Time: 7.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 8, Interval: 1.00s, Time: 8.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 9, Interval: 1.00s, Time: 9.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 10, Interval: 1.00s, Time: 10.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 11, Interval: 1.00s, Time: 11.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 12, Interval: 1.00s, Time: 12.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 13, Interval: 1.00s, Time: 13.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 14, Interval: 1.00s, Time: 14.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 15, Interval: 1.00s, Time: 15.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 16, Interval: 1.00s, Time: 16.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 17, Interval: 1.00s, Time: 17.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 18, Interval: 1.00s, Time: 18.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 19, Interval: 1.00s, Time: 19.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 20, Interval: 1.00s, Time: 20.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 21, Interval: 1.00s, Time: 21.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 22, Interval: 1.00s, Time: 22.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 23, Interval: 1.00s, Time: 23.00s, Best Cost: 347807.0
[PROGRESS] Epoch: 24, Interval: 1.00s, Time: 24.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 25, Interval: 1.00s, Time: 25.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 26, Interval: 1.00s, Time: 26.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 27, Interval: 1.00s, Time: 27.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 28, Interval: 1.00s, Time: 28.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 29, Interval: 1.00s, Time: 29.00s, Best Cost: 347772.0
[PROGRESS] Epoch: 30, Interval: 1.00s, Time: 30.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 31, Interval: 1.00s, Time: 31.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 32, Interval: 1.00s, Time: 32.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 33, Interval: 1.00s, Time: 33.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 34, Interval: 1.00s, Time: 34.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 35, Interval: 1.00s, Time: 35.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 36, Interval: 1.00s, Time: 36.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 37, Interval: 1.00s, Time: 37.00s, Best Cost: 347756.0
[PROGRESS] Epoch: 38, Interval: 1.00s, Time: 38.00s, Best Cost: 347756.0
COST: 347756.0
TIME: 38.2
[PROGRESS] Time: 0.00s, Best Cost: 402456.0 (Seed Finish)
[PROGRESS] Epoch: 1, Interval: 1.00s, Time: 1.00s, Best Cost: 354336.0
[PROGRESS] Epoch: 2, Interval: 1.00s, Time: 2.00s, Best Cost: 350913.0
[PROGRESS] Epoch: 3, Interval: 1.00s, Time: 3.00s, Best Cost: 350099.0
[PROGRESS] Epoch: 4, Interval: 1.00s, Time: 4.00s, Best Cost: 349699.0
[PROGRESS] Epoch: 5, Interval: 1.00s, Time: 5.00s, Best Cost: 349699.0
[PROGRESS] Epoch: 6, Interval: 1.00s, Time: 6.00s, Best Cost: 349373.0
[PROGRESS] Epoch: 7, Interval: 1.00s, Time: 7.00s, Best Cost: 348684.0
[PROGRESS] Epoch: 8, Interval: 1.00s, Time: 8.00s, Best Cost: 348667.0
[PROGRESS] Epoch: 9, Interval: 1.00s, Time: 9.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 10, Interval: 1.00s, Time: 10.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 11, Interval: 1.00s, Time: 11.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 12, Interval: 1.00s, Time: 12.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 13, Interval: 1.00s, Time: 13.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 14, Interval: 1.00s, Time: 14.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 15, Interval: 1.00s, Time: 15.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 16, Interval: 1.00s, Time: 16.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 17, Interval: 1.00s, Time: 17.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 18, Interval: 1.00s, Time: 18.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 19, Interval: 1.00s, Time: 19.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 20, Interval: 1.00s, Time: 20.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 21, Interval: 1.00s, Time: 21.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 22, Interval: 1.00s, Time: 22.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 23, Interval: 1.00s, Time: 23.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 24, Interval: 1.00s, Time: 24.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 25, Interval: 1.00s, Time: 25.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 26, Interval: 1.00s, Time: 26.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 27, Interval: 1.00s, Time: 27.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 28, Interval: 1.00s, Time: 28.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 29, Interval: 1.00s, Time: 29.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 30, Interval: 1.00s, Time: 30.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 31, Interval: 1.00s, Time: 31.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 32, Interval: 1.00s, Time: 32.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 33, Interval: 1.00s, Time: 33.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 34, Interval: 1.00s, Time: 34.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 35, Interval: 1.00s, Time: 35.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 36, Interval: 1.00s, Time: 36.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 37, Interval: 1.00s, Time: 37.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 38, Interval: 1.00s, Time: 38.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 39, Interval: 1.00s, Time: 39.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 40, Interval: 1.00s, Time: 40.00s, Best Cost: 347090.0
[PROGRESS] Epoch: 41, Interval: 1.00s, Time: 41.00s, Best Cost: 347090.0
COST: 347090.0
TIME: 41.8
[PROGRESS] Time: 0.00s, Best Cost: 402456.0 (Seed Finish)
